symbol	kind	family	reference_source	audit_status	platform_partition	disposition	portable_equivalent	rationale
E0013_MAIN_Exception69Handler_TimerC_DoNothing	E	MAIN	BASE.C:726	MISSING	exception-R/E/S	NON_APPLICABLE	-	Original exception/vector or assembly-stub entry; host scheduling and signal behavior cannot be substituted without an exact trace-backed contract.
E0014_MAIN_Exception70Handler_KeyboardMIDI	E	MAIN	BASE.C:728	MISSING	exception-R/E/S	NON_APPLICABLE	-	Original exception/vector or assembly-stub entry; host scheduling and signal behavior cannot be substituted without an exact trace-backed contract.
F0018_MAIN_SetExceptionVectors	F	MAIN	ATARIST.H:12	MISSING	exception-R/E/S	NON_APPLICABLE	-	Original exception/vector or assembly-stub entry; host scheduling and signal behavior cannot be substituted without an exact trace-backed contract.
F018_aaat_	F	Atari ST / PRIM ABI alias	ATARIST.H:12	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F019_aarz_	F	Atari ST / PRIM ABI alias	ATARIST.H:13	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F035_aaaw_	F	Atari ST / PRIM ABI alias	ATARIST.H:29	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F106_rzzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:62	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F134_zzzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:66	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F135_xzzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:67	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F145_rzzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:76	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F147_aawz_	F	Atari ST / PRIM ABI alias	ATARIST.H:78	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F182_aqzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:106	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F195_akzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:117	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F196_aozz_	F	Atari ST / PRIM ABI alias	ATARIST.H:118	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F218_ezzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:126	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F227_qzzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:130	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F461_AA08_	F	Atari ST / PRIM ABI alias	ATARIST.H:223	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F468_ozzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:227	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F469_rzzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:228	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F470_xzzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:229	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F480_AA07_	F	Atari ST / PRIM ABI alias	ATARIST.H:235	MISSING	Atari-ST-PRIM-ABI-alias	NON_APPLICABLE	-	Atari ST/PRIM linker alias, not an independently callable portable behavior.
F0513_DIALOG_DrawGameReadyToPlay_Unreferenced	F	DIALOG	AMIGA.H:304	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0518_FLOPPY_Deinitialize_CPSX	F	FLOPPY	AMIGA.H:309	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0519_FLOPPY_GetFormatResult	F	FLOPPY	AMIGA.H:310	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0520_FLOPPY_GetSectorChecksum	F	FLOPPY	AMIGA.H:311	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
