partition	callable_rows	missing_rows	uncertain_rows	source_locators	disposition	promotion_evidence
GRF1	8	8	0	BLITFILL.C:287; GRF1.C:63,197,590,606,625,682; BLITMASK.C:6	BLOCKED_BITPLANE_ABI	Retain the GRF1 source bodies plus a hash-identified original bitmap/blitter fixture and a proven host pixel-format contract before porting any fill, invert, blit, allocation, or expunge behavior.
VIDEO	11	4	7	ACTIDRAW.C:160,255,285; ANIM.C:283; ANIMTOWN.C:672; AMIGA.H:351,352; BASE.C:1574,1580; BLITMASK.C:33; BLTSHRNK.C:1556	MIXED_EXISTING_UNVERIFIED_AND_BACKEND_BLOCKED	Existing numbered-token hits are not equivalence proof; missing fill/hatch paths require retained bodies, source bitmap ABI, and an authenticated framebuffer fixture.
VDEO	17	17	0	VDEO1.C:48,80,119,147,199,329,667,750,839,877,902,936,1120,1128,1294; VDEO2.C:88,244	BLOCKED_PLATFORM_BACKEND	The complete VDEO family is platform display/palette state; retain source bodies plus target display cadence and real media before a portable adapter is admitted.
VIDRV	21	18	3	IMAGE3.C:831; NEC816.C:1785,1868,1998,2024,2061,2136,2249,2315,2340,2424,2438,2468,2514,2522,2618; VIDEODRV.C:36,3474; CEDT027.C:1422; DRAWVIEW.C:684; ANIMTOWN.C:618	MIXED_EXISTING_UNVERIFIED_AND_BACKEND_BLOCKED	VIDRV routes require the original screen/interrupt/palette ABI and a host presentation contract; do not infer them from callable names.
IMG	3	1	2	ANIMIMG.C:137; CEDT018.C:832; DEFS.H:9317	PORTABLE_CANDIDATE_BLOCKED	Expand-to-screen is potentially portable, but the retained corpus supplies no callable body or authenticated compressed graphic fixture; no decoder/blitter implementation is justified.
IMG3	3	0	3	ANIMIMG.C:51; IMAGE2.C:91,101	RETAIN_EXISTING_UNVERIFIED	Firestaff has numbered-token evidence only; validate line-fill/nibble/pixel-count semantics against the retained source body and real IMG3 data before changing code.
LZW	3	1	2	DEFS.H:8886,8887; ATARIST.H:244	PORTABLE_CANDIDATE_BLOCKED	The missing output-character helper is algorithm-shaped, but only declaration-level provenance remains and no authenticated compressed fixture establishes the stream/overflow contract.
SOUND	14	0	14	ATARIST.H:5,43,44,45,46; AMIGA.H:292,293,294,295,296; ANIM.C:316; DEFS.H:6829,9472; SOUND.C:6	RETAIN_EXISTING_UNVERIFIED	Current hits are numbered-token evidence, not device/timer/queue equivalence; require source bodies, media hashes, and an audio timing trace.
MUSC	5	5	0	MUSCMAIN.C:5,6,7,8,9	BLOCKED_PLATFORM_BACKEND	MIDI music start/stop/expunge behavior owns original driver state; retain source bodies plus a MIDI corpus and timing trace before host implementation.
PALETTE	3	0	3	ANIMTOWN.C:636; ANIM.C:1603; SWITCH.C:881	RETAIN_EXISTING_UNVERIFIED	Curtain behavior has no verified state/cadence mapping; require source body and original palette-transition captures before modifying host palette flow.
